County,State,Thousand Dry Tonnes/Yr
Autauga,Alabama,48.143
Baldwin,Alabama,33.875
Barbour,Alabama,60.711
Butler,Alabama,45.321
Calhoun,Alabama,6.5247
Chambers,Alabama,23.026
Cherokee,Alabama,24.012
Chilton,Alabama,32.781
Choctaw,Alabama,110.99
Clarke,Alabama,168.7
Baca,Colorado,0
Bent,Colorado,0
Boulder,Colorado,0
Broomfield,Colorado,0
Chaffee,Colorado,0.045994
San Juan,Colorado,0
San Miguel,Colorado,0
Sutter,California,0
Tehama,California,22.508
Pitkin,Colorado,0
Hartford,Connecticut,8.6447
Litchfield,Connecticut,2.2183
Middlesex,Connecticut,0.31429
New Haven,Connecticut,11.848
New London,Connecticut,9.8972
Tolland,Connecticut,0.68225
Windham,Connecticut,1.2188
Crittenden,Arkansas,0.4735
La Plata,Colorado,0.28363
Larimer,Colorado,0.10732
Summit,Colorado,0.27597
Sarasota,Florida,0.14034
Seminole,Florida,2.0957
Sumter,Florida,9.3934
Suwannee,Florida,28.257
Taylor,Florida,72.96
Union,Florida,17.053
Volusia,Florida,16.648
Wakulla,Florida,5.1313
Walton,Florida,24.898
Washington,Florida,32.822
Lincoln,Colorado,0
Logan,Colorado,0
Mesa,Colorado,2.6523
Washington,Colorado,0
Weld,Colorado,0
Berrien,Georgia,20.367
Bibb,Georgia,5.797
Montgomery,Alabama,13.291
Dixie,Florida,45.699
Duval,Florida,22.986
Escambia,Florida,11.882
Flagler,Florida,17.412
Franklin,Florida,4.3122
Gadsden,Florida,56.781
Gilchrist,Florida,20.519
Glades,Florida,1.3586
Gulf,Florida,24.255
Hamilton,Florida,46.845
Colquitt,Georgia,17.898
Columbia,Georgia,20.348
Cook,Georgia,10.938
Coweta,Georgia,13.922
Alpine,California,0
Amador,California,11.575
Butte,California,46.401
Calaveras,California,16.617
Harris,Georgia,20.169
Hart,Georgia,4.2468
Jerome,Idaho,0
Kootenai,Idaho,41.554
Latah,Idaho,56.166
Lemhi,Idaho,0.41395
Lewis,Idaho,5.8719
Mohave,Arizona,0
Navajo,Arizona,4.7604
Pima,Arizona,0
Pinal,Arizona,0
Colusa,California,0
Contra Costa,California,0
Del Norte,California,1.0349
El Dorado,California,45.363
Henry,Georgia,8.9011
Houston,Georgia,12.536
Irwin,Georgia,11.617
Jackson,Georgia,4.8187
Jasper,Georgia,22.341
Jeff Davis,Georgia,24.676
Jefferson,Georgia,28.481
Washington,Idaho,0.084323
Adams,Illinois,4.2391
Alexander,Illinois,1.7095
Kern,California,0
Kings,California,0
Lake,California,0.74357
Lanier,Georgia,5.2292
Laurens,Georgia,71.308
Lee,Georgia,6.918
Liberty,Georgia,30.724
Lincoln,Georgia,11.835
Long,Georgia,38.96
Lowndes,Georgia,16.493
Lumpkin,Georgia,2.5208
McDuffie,Georgia,14.406
McIntosh,Georgia,21.475
Macon,Georgia,19.647
Madison,Georgia,5.4026
Marion,Georgia,18.179
Meriwether,Georgia,18.598
Menard,Illinois,0.45994
Marin,California,0
Mariposa,California,1.6175
Mitchell,Georgia,13.409
Monroe,Georgia,23.86
Montgomery,Georgia,18.162
Morgan,Georgia,13.252
Murray,Georgia,16.842
Muscogee,Georgia,18.038
Newton,Georgia,6.4474
Oconee,Georgia,3.4125
Oglethorpe,Georgia,18.587
Woodford,Illinois,3.5179
Howard,Arkansas,55.177
Independence,Arkansas,22.884
Izard,Arkansas,8.5372
Pierce,Georgia,38.003
Pike,Georgia,11.546
Rooks,Kansas,0
San Bernardino,California,4.1088
San Diego,California,0
San Francisco,California,0
San Joaquin,California,0
Pulaski,Georgia,18.338
Putnam,Georgia,14.17
Quitman,Georgia,6.221
Rabun,Georgia,2.5781
Santa Cruz,California,4.2775
Shasta,California,134.33
Sierra,California,8.0962
Screven,Georgia,47.624
Seminole,Georgia,4.6295
